---------------

a. The words are:

b. The words are:

c. The words are:

d. The words are:

e. The words are:

f. The words are:

g. The words are:

h. The words are:

i. The words are:

j. The words are:

k. The words are:

l. The words are:

m. The words are:

n. The words are:

o. The words are:

p. The words are:

q. The words are:

r. The words are:

s. The words are:

t. The words are:

u. The words are:

v. The words are:

w. The words are:

x. The words are:

y. The words are:

z. The words are:

a. The words are:

b. The words are:

c. The words are:

d. The words are:

e. The words are:

f. The words are:

g. The words are:

h. The words are:

i. The words are:

j. The words are:

k. The words are:

l. The words are:

m. The words are:

n. The words are:

o. The words are:

p. The words are:

q. The words are:

r. The words are:

s. The words are:

t. The words are:

u. The words are:

v. The words are:

w. The words are:

1. There's a few more words for the -0.1961 sub-chapter (see the footnote below).

2. There's a passage (part 2):

c. The words are:

d. The words are:

e
