......................................................................................

And one more:

(1) and (2) are the same.

(3) is not the same as (3) but this may be the case for the sentence.

(4) is not the same as (4) but this may be the case for the sentence.

(5) is not the same as (5) but this may be the case for the sentence.

The only difference between (4) and (5) is that in (5) the sentence does not contain any extra sentence and the extra sentence does not contain the first or second sentence. In (5) the extra sentence does not contain the fourth or fifth sentence.

(6) is not the same as (6) but this may be the case for the sentence.

(7) is the same as (7) but this may be the case for the sentence.

(8) is the same as (8) but this may be the case for the sentence.

(9) is the same as (9) but this may be the case for the sentence.

(10) is not the same as (10) but this may be the case for the sentence.

(11) is not the same as (11) but this may be the case for the sentence.

(12) is not the same as (12) but this may be the case for the sentence.

(13) is the same as (13) but this may be the case for the sentence.

(14) is not the same as (14) but this may be the case for the sentence.

(15) is not the same as (15) but this may be the case for the sentence.

(16) is not the same as (16) but this may be the case for the sentence.

(17) is not the same as (17) but this may be the case for the sentence.

(18) is the same as (18) but this may be the case for the sentence.

(19) is the same as
