------------------------

A. C-minus 0.0012.

B. C-minus 0.0020.

C. C-minus 0.0012.

D. C-minus 0.0012.

E. C-minus 0.0012.

F. C-minus 0.0012.

G. C-minus 0.0012.

H. C-minus 0.0012.

I. C-minus 0.0012.

J. C-minus 0.0012.

K. C-minus 0.0012,

L. C-minus 0.0012.

M. C-minus 0.0012,

N. C-minus 0.0012.

O. C-minus 0.0012.

P. C-minus 0.0012.

Q. C-minus 0.0012.

R. C-minus 0.0012.

S. C-minus 0.0012.

T. C-minus 0.0012.

V. C-minus 0.0012.

Z. C-minus 0.0012,

A. C-minus 0.0012.

B. C-minus 0.0012.

C. C-minus 0.0012.

D. C-minus 0.0012.

E. C-minus 0.0012.

F. C-minus 0.0012.

G. C-minus 0.0012.

H. C-minus 0.0012.

I. C-minus 0.0012.

J. C-minus 0.0012.

K. C-minus 0.0012.

K. C-minus 0.0012.

L. C-minus 0.0012.

L. C-minus 0.0012.

M. C-minus 0.0012.

M. C
