**********

1) Russian forces:

• "We are not interested in providing weapons to the Ukrainians in the first place. We will be working on this. … We are not interested in providing arms to the Ukrainians in the first place. We will be working on this. We are not interested in providing arms to the Ukrainians in the first place. … The whole of Ukraine will be under the control of the Russian Federation. So we will be working on this. We are not interested in providing arms to Ukraine in the first place. That's what the situation in Ukraine is. We won't give them weapons, that's what we are doing."

• "Ukrainian forces are in Ukraine, but are not part of the Russian Federation."

• "The Ukrainian government is not part of the Russian Federation. We are not part of the Russian Federation. We are not part of the Russian Federation. We want to help Ukraine in the fight against terrorism, we want to help Ukraine in the fight against crime, we want to help Ukraine in the fight against corruption."

• "Ukraine has good relations with Russia and can help Ukraine in the fight against terrorist groups such as ISIS, Al-Qaeda and Al-Nusra. We are not interested in supplying arms to the Ukrainians in the first place."

3) Russia:

• "We are not interested in providing weapons to the Ukrainians in the first place. We will be working on this. We are not interested in providing arms to the Ukrainians in the first place. … We are not interested in providing arms to the Ukrainians in the first place. That's what the situation in Ukraine is. We won't give them weapons, that's what we are doing."

• "Ukraine has good relations with Russia and can help Ukraine in the fight against terrorism, we want to help Ukraine in the fight against corruption."

4) Belarusian:

• "We are not interested in supplying arms to the Ukrainians in the first place. We will be working on this. We are not interested in providing arms to the Ukrainians in the first place. … We are not interested in providing arms to the Ukraine in the fight against terrorism, we
