

I must speak out for the gay community. I am standing here today to fight for equality. I am a gay man, who is now married to a lesbian. I do not get to be a gay man. I have to be a gay man, but not a lesbian. I am a gay man. 

[I am standing here today to fight for equality. I am a gay man, who is now married to a lesbian. I do not get to be a gay man. I have to be a gay man. I am a gay man.]

But there are a couple of comments that are far more interesting.

The first is this sentence:

I am a lesbian. It's the most important thing I can say. 

The second is this quote in the same sentence:

I am a gay man. It's the most important thing I can say. 

The third is this quote:

I am a lesbian. It's the most important thing I can say. 

The fourth comment is this:

I am a lesbian. It's the most important thing I can say. 

The fifth comment is this:

I am a lesbian. It's the most important thing I can say. 

I am a lesbian. It's the most important thing I can say. 

The sixth comment is this:

I am a lesbian. It's the most important thing I can say. 

The seventh comment is this:

I am a lesbian. It's the most important thing I can say. 

I am a lesbian. It's the most important thing I can say. 

The eighth comment is this:

I am a lesbian. It's the most important thing I can say. 

I am a lesbian. It's the most important thing I can say. 

I am a lesbian. It's the most important thing I can say. 

I am a lesbian. It's the most important thing I can say. 

I am a lesbian. It's the most important thing I can say
